probability,generations,population_size,result
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,2,0,0
1,4,0,0
1,2,0,0
1,2,0,0
1,2,0,0
2,4,4,1
2,4,0,0
2,4,0,0
2,2,0,0
2,2,0,0
2,4,0,0
2,4,0,0
2,4,0,0
2,4,0,0
2,4,4,1
3,4,11,1
3,10,6,1
3,10,16,1
3,6,11,1
3,4,7,1
3,6,0,0
3,4,4,1
3,4,0,0
3,6,0,0
3,4,3,1
4,710,57,1
4,10,12,1
4,8,31,1
4,10,7,1
4,10,18,1
4,22,18,1
4,26,20,1
4,10,8,1
4,10,14,1
4,4,0,0
5,268,26,1
5,20,30,1
5,24,31,1
5,10,22,1
5,780,100,1
5,20,43,1
5,138,36,1
5,10,20,1
5,54,30,1
5,12,14,1
6,20,63,1
6,14,54,1
6,1544,142,1
6,396,97,1
6,2610,152,1
6,18,50,1
6,3026,85,1
6,112,27,1
6,10,40,1
6,16,28,1
7,694,127,1
7,46,66,1
7,2510,162,1
7,2254,158,1
7,140,86,1
7,214,47,1
7,1552,146,1
7,38,103,1
7,892,142,1
7,94,69,1
8,1168,151,1
8,170,73,1
8,1156,197,1
8,1424,126,1
8,550,124,1
8,44,93,1
8,1240,96,1
8,314,117,1
8,22,100,1
8,2162,139,1
9,874,199,1
9,1166,182,1
9,976,135,1
9,1204,196,1
9,1026,207,1
9,2340,210,1
9,914,133,1
9,2924,206,1
9,234,135,1
9,1724,226,1
10,960,189,1
10,3654,244,1
10,304,150,1
10,3760,236,1
10,1208,158,1
10,2312,215,1
10,896,186,1
10,562,215,1
10,806,164,1
10,1700,222,1
11,1030,228,1
11,2516,223,1
11,948,193,1
11,1298,234,1
11,1552,191,1
11,1688,246,1
11,1428,184,1
11,2212,233,1
11,1148,203,1
11,3148,153,1
12,2032,218,1
12,868,210,1
12,1106,266,1
12,764,220,1
12,3534,210,1
12,1682,194,1
12,1118,210,1
12,3778,249,1
12,3862,201,1
12,5446,206,1
13,1758,259,1
13,1136,253,1
13,754,223,1
13,644,279,1
13,372,242,1
13,5116,255,1
13,3308,216,1
13,2694,266,1
13,1930,287,1
13,1884,149,1
14,568,278,1
14,870,221,1
14,1254,278,1
14,3512,263,1
14,2834,236,1
